mangydownload				#e6f2ff
chapterhanger				#cce6ff
umbrellawoof				#b3d9ff
bookejecta					#99ccff
smawrapid					#80bfff
shelvingleisure				#66b3ff
goatsnegate					#4da6ff
ranchersimpossible			#3399ff
porschesisterhood			#1a8cff
uponrake					#0080ff
ointmentalderman			#0073e6
bohrplaying					#e6e6ff
obtainableskiing				#ccccff
beckyking					#b3b3ff
anemicgermanium			#9999ff
resetsparky					#8080ff
turbojem					#6666ff
pedanthat					#4d4dff
uprightbloodhound			#3333ff
cheekyrachael				#1a1aff
pansstupendous				#0000ff
sowndshaunt				#0000e6
garaviscous					#0000cc
davidtowel					#ffe6ff
berkeliumdebtor				#ffccff
thighquestion				#ffb3ff
majoritytacky				#ff99ff
portiagrayper				#ff80ff
ecotypejibboom				#ff66ff
tarfffarad					#ff4dff
hardhathalifax				#ff33ff
collarordinary				#ff1aff
kintrahurried				#ffe6e6
wildcatwe					#ff9999	
petcockcapsule				#ffb3b3
